run_id,group,cookbook_row,num_trained_blocks,backbone,dataset,n_samples,model_size,run,pre_knn_f1,pre_knn_f1_std,pre_linear_f1,pre_linear_f1_std,post_knn_f1,post_knn_f1_std,post_linear_f1,post_linear_f1_std,post_sft_f1,post_sft_f1_std
pretrained_dermamnist_dinov3_n100,pretrained,3,2,DINOv3,DermaMNIST,100,ViT-B,42,,,,,0.118471,,0.260497,,0.384463,
pretrained_dermamnist_dinov3_n100,pretrained,3,2,DINOv3,DermaMNIST,100,ViT-B,43,,,,,0.115817,,0.283043,,0.351985,
pretrained_dermamnist_dinov3_n100,pretrained,3,2,DINOv3,DermaMNIST,100,ViT-B,44,,,,,0.124737,,0.314547,,0.298703,
pretrained_dermamnist_dinov3_n100,pretrained,3,2,DINOv3,DermaMNIST,100,ViT-B,average,,,,,0.119675,0.004580,0.286029,0.027148,0.345050,0.043298
pretrained_dermamnist_dinov3_n500,pretrained,4,2,DINOv3,DermaMNIST,500,ViT-B,42,,,,,0.254889,,0.414266,,0.489936,
pretrained_dermamnist_dinov3_n500,pretrained,4,2,DINOv3,DermaMNIST,500,ViT-B,43,,,,,0.260827,,0.357483,,0.510096,
pretrained_dermamnist_dinov3_n500,pretrained,4,2,DINOv3,DermaMNIST,500,ViT-B,44,,,,,0.235906,,0.421461,,0.560531,
pretrained_dermamnist_dinov3_n500,pretrained,4,2,DINOv3,DermaMNIST,500,ViT-B,average,,,,,0.250541,0.013017,0.397737,0.035046,0.520188,0.036363
pretrained_dermamnist_dinov3_n1000,pretrained,5,2,DINOv3,DermaMNIST,1000,ViT-B,42,,,,,0.321023,,0.477672,,0.571838,
pretrained_dermamnist_dinov3_n1000,pretrained,5,2,DINOv3,DermaMNIST,1000,ViT-B,43,,,,,0.331314,,0.464489,,0.604129,
pretrained_dermamnist_dinov3_n1000,pretrained,5,2,DINOv3,DermaMNIST,1000,ViT-B,44,,,,,0.311588,,0.523092,,0.611279,
pretrained_dermamnist_dinov3_n1000,pretrained,5,2,DINOv3,DermaMNIST,1000,ViT-B,average,,,,,0.321309,0.009866,0.488418,0.030743,0.595749,0.021014
pretrained_dermamnist_dinov3_n7007,pretrained,6,4,DINOv3,DermaMNIST,7007,ViT-B,42,,,,,0.527854,,0.664933,,0.875687,
pretrained_dermamnist_dinov3_n7007,pretrained,6,4,DINOv3,DermaMNIST,7007,ViT-B,43,,,,,0.526832,,0.692507,,0.860580,
pretrained_dermamnist_dinov3_n7007,pretrained,6,4,DINOv3,DermaMNIST,7007,ViT-B,44,,,,,0.539013,,0.637841,,0.866064,
pretrained_dermamnist_dinov3_n7007,pretrained,6,4,DINOv3,DermaMNIST,7007,ViT-B,average,,,,,0.531233,0.006757,0.665094,0.027334,0.867444,0.007647
pretrained_dermamnist_mae_n1000,pretrained,7,2,MAE,DermaMNIST,1000,ViT-B,42,,,,,0.289863,,0.356124,,0.519070,
pretrained_dermamnist_mae_n1000,pretrained,7,2,MAE,DermaMNIST,1000,ViT-B,43,,,,,0.267536,,0.321277,,0.579111,
pretrained_dermamnist_mae_n1000,pretrained,7,2,MAE,DermaMNIST,1000,ViT-B,44,,,,,0.291321,,0.355268,,0.549074,
pretrained_dermamnist_mae_n1000,pretrained,7,2,MAE,DermaMNIST,1000,ViT-B,average,,,,,0.282907,0.013332,0.344223,0.019876,0.549085,0.030020
pretrained_dermamnist_mae_n7007,pretrained,8,4,MAE,DermaMNIST,7007,ViT-B,42,,,,,0.378557,,0.426957,,0.831334,
