,,,,,,,,PRE-CP,,,,,,,,POST-CP,,,,,,IMPROVEMENT,,
Group,Method,Backbone,Dataset,NUM_DATA,model_size,WANDB LINK,RESPONSIBLE,knn_f1_mean,knn_f1_std,linear_f1_mean,linear_f1_std,finetune_f1_mean,finetune_f1_std,WANDB LINK,RESPONSIBLE,knn_f1_mean,knn_f1_std,linear_f1_mean,linear_f1_std,finetune_f1_mean,finetune_f1_std,knn_f1_improvement_mean,lp_f1_improvement_mean,ft_f1_improvement
CP,LeJEPA-CP,DINOv3,DermaMNIST,100,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-dermamnist?nw=nwuserhaodoz0118,haodong,0.1197,0.0046,0.2820,0.0209,0.3215,0.0246,,haodong,,,,,,,,,
,LeJEPA-CP,DINOv3,DermaMNIST,500,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-dermamnist?nw=nwuserhaodoz0118,haodong,0.2052,0.0210,0.4087,0.0189,0.5441,0.0402,,haodong,,,,,,,,,
,LeJEPA-CP,DINOv3,DermaMNIST,1000,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-dermamnist?nw=nwuserhaodoz0118,haodong,0.2604,0.0090,0.4693,0.0517,0.6263,0.0148,,haodong,,,,,,,,,
,LeJEPA-CP,DINOv3,DermaMNIST,MAX (7007),ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-dermamnist?nw=nwuserhaodoz0118,haodong,0.4542,0.0000,0.6332,0.0099,0.8596,0.0122,,haodong,,,,,,,,,
,LeJEPA-CP,MAE,DermaMNIST,1000,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-mae-dermamnist?nw=nwuserhaodoz0118,haodong,0.2170,0.0015,0.3221,0.0280,0.5498,0.0217,,haodong,,,,,,,,,
,LeJEPA-CP,MAE,DermaMNIST,       MAX (7007),ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-mae-dermamnist?nw=nwuserhaodoz0118,haodong,0.2668,0.0000,0.3248,0.0076,0.8340,0.0123,,haodong,,,,,,,,,
,LeJEPA-CP,CLIP,DermaMNIST,1000,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-clip-dermamnist,haodong,0.2708,0.0150,0.3858,0.0343,0.5453,0.0198,,haodong,,,,,,,,,
,LeJEPA-CP,CLIP,DermaMNIST,MAX (7007),ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-clip-dermamnist,haodong,0.4226,0.0000,0.4660,0.0113,0.7890,0.0102,,haodong,,,,,,,,,
,LeJEPA-CP,DINOv3,BreastMNIST,100,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-breastmnist,haodong,0.5667,0.0646,0.7060,0.0503,0.8076,0.0074,,haodong,,,,,,,,,
,LeJEPA-CP,DINOv3,BreastMNIST,500,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-breastmnist,haodong,0.7919,0.0077,0.7677,0.0438,0.8974,0.0086,,haodong,,,,,,,,,
,LeJEPA-CP,DINOv3,BreastMNIST,MAX(546),ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-breastmnist,haodong,0.8051,0.0000,0.7801,0.0312,0.8940,0.0196,,haodong,,,,,,,,,
,LeJEPA-CP,MAE,BreastMNIST,100,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-mae-breastmnist,haodong,0.5441,0.0325,0.6302,0.1017,0.7776,0.0343,,haodong,,,,,,,,,
,LeJEPA-CP,MAE,BreastMNIST,MAX(546),ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-mae-breastmnist,haodong,0.7310,0.0000,0.6741,0.0565,0.8802,0.0167,,haodong,,,,,,,,,
,LeJEPA-CP,CLIP,BreastMNIST,100,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-clip-breastmnist,haodong,0.4296,0.0128,0.6676,0.0393,0.7061,0.0511,,haodong,,,,,,,,,
,LeJEPA-CP,CLIP,BreastMNIST,MAX(546),ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-clip-breastmnist,haodong,0.6083,0.0000,0.6750,0.0476,0.8665,0.0121,,haodong,,,,,,,,,
,LeJEPA-CP,DINOv3,OCTMNIST,100,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-octmnist,haodong,0.3050,0.0085,0.4850,0.0653,0.7688,0.0632,,haodong,,,,,,,,,
,LeJEPA-CP,DINOv3,OCTMNIST,500,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-octmnist,haodong,0.3858,0.0392,0.6612,0.0409,0.8398,0.0275,,haodong,,,,,,,,,
