,,,,,,,,PRE-CP,,,,,,,,POST-CP,,,,,,IMPROVEMENT,,
Group,Method,Backbone,Dataset,NUM_DATA,model_size,WANDB LINK,RESPONSIBLE,knn_f1_mean,knn_f1_std,linear_f1_mean,linear_f1_std,finetune_f1_mean,finetune_f1_std,WANDB LINK,RESPONSIBLE,knn_f1_mean,knn_f1_std,linear_f1_mean,linear_f1_std,finetune_f1_mean,finetune_f1_std,knn_f1_improvement_mean,lp_f1_improvement_mean,ft_f1_improvement
CP,LeJEPA-CP,DINOv3,DermaMNIST,100,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-dermamnist?nw=nwuserhaodoz0118,haodong,0.1197,0.0046,0.2820,0.0209,0.3215,0.0246,,haodong,0.119675,0.004580,0.286029,0.027148,0.345050,0.043298,0.0000,0.0040,0.0236
,LeJEPA-CP,DINOv3,DermaMNIST,500,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-dermamnist?nw=nwuserhaodoz0118,haodong,0.2052,0.0210,0.4087,0.0189,0.5441,0.0402,,haodong,0.250541,0.013017,0.397737,0.035046,0.520188,0.036363,0.0453,-0.0110,-0.0239
,LeJEPA-CP,DINOv3,DermaMNIST,1000,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-dermamnist?nw=nwuserhaodoz0118,haodong,0.2604,0.0090,0.4693,0.0517,0.6263,0.0148,,haodong,0.321309,0.009866,0.488418,0.030743,0.595749,0.021014,0.0609,0.0191,-0.0306
,LeJEPA-CP,DINOv3,DermaMNIST,MAX (7007),ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-dermamnist?nw=nwuserhaodoz0118,haodong,0.4542,0.0000,0.6332,0.0099,0.8596,0.0122,,haodong,0.531233,0.006757,0.665094,0.027334,0.867444,0.007647,0.0770,0.0319,0.0078
,LeJEPA-CP,MAE,DermaMNIST,1000,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-mae-dermamnist?nw=nwuserhaodoz0118,haodong,0.2170,0.0015,0.3221,0.0280,0.5498,0.0217,,haodong,0.282907,0.013332,0.344223,0.019876,0.549085,0.030020,0.0659,0.0221,-0.0007
,LeJEPA-CP,MAE,DermaMNIST,       MAX (7007),ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-mae-dermamnist?nw=nwuserhaodoz0118,haodong,0.2668,0.0000,0.3248,0.0076,0.8340,0.0123,,haodong,0.378321,0.002285,0.408379,0.026508,0.828303,0.003177,0.1115,0.0836,-0.0057
,LeJEPA-CP,CLIP,DermaMNIST,1000,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-clip-dermamnist,haodong,0.2708,0.0150,0.3858,0.0343,0.5453,0.0198,,haodong,0.305619,0.022769,0.363708,0.023811,0.549658,0.001987,0.0348,-0.0221,0.0044
,LeJEPA-CP,CLIP,DermaMNIST,MAX (7007),ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-clip-dermamnist,haodong,0.4226,0.0000,0.4660,0.0113,0.7890,0.0102,,haodong,0.439048,0.005443,0.471502,0.010918,0.813892,0.014783,0.0164,0.0055,0.0249
,LeJEPA-CP,DINOv3,BreastMNIST,100,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-breastmnist,haodong,0.5667,0.0646,0.7060,0.0503,0.8076,0.0074,,haodong,0.566656,0.064563,0.671924,0.063645,0.789888,0.014385,0.0000,-0.0341,-0.0177
,LeJEPA-CP,DINOv3,BreastMNIST,500,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-breastmnist,haodong,0.7919,0.0077,0.7677,0.0438,0.8974,0.0086,,haodong,0.873902,0.005577,0.845075,0.025984,0.889007,0.013676,0.0820,0.0774,-0.0084
,LeJEPA-CP,DINOv3,BreastMNIST,MAX(546),ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-breastmnist,haodong,0.8051,0.0000,0.7801,0.0312,0.8940,0.0196,,haodong,0.877794,0.010476,0.848534,0.010945,0.901297,0.013846,0.0727,0.0684,0.0073
,LeJEPA-CP,MAE,BreastMNIST,100,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-mae-breastmnist,haodong,0.5441,0.0325,0.6302,0.1017,0.7776,0.0343,,haodong,0.544136,0.032462,0.610239,0.070345,0.761153,0.021014,0.0000,-0.0200,-0.0164
,LeJEPA-CP,MAE,BreastMNIST,MAX(546),ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-mae-breastmnist,haodong,0.7310,0.0000,0.6741,0.0565,0.8802,0.0167,,haodong,0.788023,0.008123,0.749518,0.029402,0.893535,0.009705,0.0570,0.0754,0.0133
,LeJEPA-CP,CLIP,BreastMNIST,100,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-clip-breastmnist,haodong,0.4296,0.0128,0.6676,0.0393,0.7061,0.0511,,haodong,0.429605,0.012786,0.637485,0.032410,0.779534,0.040510,0.0000,-0.0301,0.0734
,LeJEPA-CP,CLIP,BreastMNIST,MAX(546),ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-clip-breastmnist,haodong,0.6083,0.0000,0.6750,0.0476,0.8665,0.0121,,haodong,0.786983,0.006930,0.816963,0.011537,0.884234,0.007364,0.1787,0.1420,0.0177
