run_id,group,backbone_tag,backbone_timm,dataset,display_name,model_size,n_samples,num_trained_blocks,pool_strategy,random_init,project,cookbook_row
pretrained_dermamnist_dinov3_n100,pretrained,DINOv3,vit_base_patch16_dinov3.lvd1689m,dermamnist,DermaMNIST,ViT-B,100,2,cls,no,lejepa-cp-dinov3-dermamnist,3
pretrained_dermamnist_dinov3_n500,pretrained,DINOv3,vit_base_patch16_dinov3.lvd1689m,dermamnist,DermaMNIST,ViT-B,500,2,cls,no,lejepa-cp-dinov3-dermamnist,4
pretrained_dermamnist_dinov3_n1000,pretrained,DINOv3,vit_base_patch16_dinov3.lvd1689m,dermamnist,DermaMNIST,ViT-B,1000,2,cls,no,lejepa-cp-dinov3-dermamnist,5
pretrained_dermamnist_dinov3_n7007,pretrained,DINOv3,vit_base_patch16_dinov3.lvd1689m,dermamnist,DermaMNIST,ViT-B,7007,4,cls,no,lejepa-cp-dinov3-dermamnist,6
pretrained_dermamnist_mae_n1000,pretrained,MAE,vit_base_patch16_224.mae,dermamnist,DermaMNIST,ViT-B,1000,2,mean,no,lejepa-cp-mae-dermamnist,7
pretrained_dermamnist_mae_n7007,pretrained,MAE,vit_base_patch16_224.mae,dermamnist,DermaMNIST,ViT-B,7007,4,mean,no,lejepa-cp-mae-dermamnist,8
pretrained_dermamnist_clip_n1000,pretrained,CLIP,vit_base_patch16_clip_224.openai,dermamnist,DermaMNIST,ViT-B,1000,2,cls,no,lejepa-cp-clip-dermamnist,9
pretrained_dermamnist_clip_n7007,pretrained,CLIP,vit_base_patch16_clip_224.openai,dermamnist,DermaMNIST,ViT-B,7007,4,cls,no,lejepa-cp-clip-dermamnist,10
pretrained_breastmnist_dinov3_n100,pretrained,DINOv3,vit_base_patch16_dinov3.lvd1689m,breastmnist,BreastMNIST,ViT-B,100,2,cls,no,lejepa-cp-dinov3-breastmnist,11
pretrained_breastmnist_dinov3_n500,pretrained,DINOv3,vit_base_patch16_dinov3.lvd1689m,breastmnist,BreastMNIST,ViT-B,500,2,cls,no,lejepa-cp-dinov3-breastmnist,12
